"Commune_insee","Relief"
"71471","Bas plateaux-colines"
"71474","Bas plateaux-colines"
"71480","Bas plateaux-colines"
"71481","Plaine"
"71494","Plaine"
"71500","Bas plateaux-colines"
"71513","Plaine"
"71524","Bas plateaux-colines"
"71527","Bas plateaux-colines"
"71530","Bas plateaux-colines"
"71533","Bas plateaux-colines"
"71534","Plaine"
"71545","Bas plateaux-colines"
"71548","Plaine"
"71555","Plaine"
"71581","Bas plateaux-colines"
"71589","Bas plateaux-colines"
"71591","Plaine"
"72004","Plaine"
"72005","Plaine"
"72013","Plaine"
"72017","Plaine"
"72023","Plaine"
"72027","Plaine"
"72028","Plaine"
"72031","Plaine"
"72036","Plaine"
"72038","Plaine"
"72039","Plaine"
"72043","Plaine"
"72053","Plaine"
"72061","Plaine"
"72065","Plaine"
"72070","Plaine"
"72078","Plaine"
"72094","Plaine"
"72098","Plaine"
"72100","Plaine"
"72103","Plaine"
"72109","Plaine"
"72128","Plaine"
"72129","Plaine"
"72139","Plaine"
"72145","Bas plateaux-colines"
"72149","Plaine"
"72151","Plaine"
"72153","Plaine"
"72165","Plaine"
"72187","Plaine"
"72190","Plaine"
"72195","Plaine"
"72197","Plaine"
"72198","Plaine"
"72199","Plaine"
"72212","Plaine"
"72217","Plaine"
"72219","Plaine"
"72230","Plaine"
"72231","Plaine"
"72233","Plaine"
"72241","Plaine"
"72248","Plaine"
"72249","Plaine"
"72251","Plaine"
"72259","Plaine"
"72264","Plaine"
"72265","Plaine"
"72268","Plaine"
"72270","Plaine"
"72271","Plaine"
"72272","Plaine"
"72279","Plaine"
"72280","Plaine"
"72290","Plaine"
"72296","Plaine"
"72300","Plaine"
"72303","Plaine"
"72312","Plaine"
"72339","Plaine"
"72347","Plaine"
"72348","Plaine"
"72355","Plaine"
"72366","Plaine"
"72367","Plaine"
"72368","Plaine"
"72380","Plaine"
"72383","Plaine"
"72385","Plaine"
"73012","Moyenne montagne"
"73014","Hauts plateaux"
"73015","Haute montagne"
"73017","Hauts plateaux"
"73018","Bas plateaux-colines"
"73023","Haute montagne"
"73028","Bas plateaux-colines"
"73029","Bas plateaux-colines"
"73032","Moyenne montagne"
"73042","Hauts plateaux"
"73052","Moyenne montagne"
"73057","Hauts plateaux"
"73061","Hauts plateaux"
"73063","Moyenne montagne"
"73067","Bas plateaux-colines"
"73072","Moyenne montagne"
"73073","Bas plateaux-colines"
"73075","Bas plateaux-colines"
"73078","Bas plateaux-colines"
"73079","Bas plateaux-colines"
"73081","Hauts plateaux"
"73092","Hauts plateaux"
"73099","Bas plateaux-colines"
"73107","Moyenne montagne"
"73138","Moyenne montagne"
"73139","Moyenne montagne"
"73145","Bas plateaux-colines"
"73154","Hauts plateaux"
"73160","Hauts plateaux"
"73173","Moyenne montagne"
"73178","Hauts plateaux"
"73181","Hauts plateaux"
"73202","Moyenne montagne"
"73204","Bas plateaux-colines"
"73218","Bas plateaux-colines"
"73229","Hauts plateaux"
"73232","Haute montagne"
"73233","Hauts plateaux"
"73240","Bas plateaux-colines"
"73243","Hauts plateaux"
"73247","Hauts plateaux"
"73248","Hauts plateaux"
"73259","Hauts plateaux"
"73268","Moyenne montagne"
"73273","Bas plateaux-colines"
"73276","Bas plateaux-colines"
"73284","Hauts plateaux"
"73285","Moyenne montagne"
"73290","Haute montagne"
"73292","Hauts plateaux"
"73298","Moyenne montagne"
"73301","Hauts plateaux"
"73311","Moyenne montagne"
"73313","Hauts plateaux"
"73314","Bas plateaux-colines"
"73317","Moyenne montagne"
"73318","Moyenne montagne"
"73324","Hauts plateaux"
"74007","Bas plateaux-colines"
"74012","Bas plateaux-colines"
"74013","Bas plateaux-colines"
"74031","Hauts plateaux"
"74032","Moyenne montagne"
"74034","Moyenne montagne"
"74043","Hauts plateaux"
"74049","Moyenne montagne"
"74051","Hauts plateaux"
"74062","Hauts plateaux"
"74080","Moyenne montagne"
"74082","Hauts plateaux"
"74089","Moyenne montagne"
"74095","Hauts plateaux"
"74099","Moyenne montagne"
"74109","Bas plateaux-colines"
"74114","Moyenne montagne"
"74118","Bas plateaux-colines"
"74123","Moyenne montagne"
"74126","Hauts plateaux"
"74135","Hauts plateaux"
"74139","Moyenne montagne"
"74142","Hauts plateaux"
"74144","Hauts plateaux"
"74147","Hauts plateaux"
"74148","Moyenne montagne"
"74150","Bas plateaux-colines"
"74152","Bas plateaux-colines"
"74157","Hauts plateaux"
"74161","Hauts plateaux"
"74165","Bas plateaux-colines"
"74167","Hauts plateaux"
"74171","Bas plateaux-colines"
"74174","Moyenne montagne"
"74176","Hauts plateaux"
"74184","Hauts plateaux"
"74185","Hauts plateaux"
"74188","Moyenne montagne"
"74200","Hauts plateaux"
"74201","Hauts plateaux"
"74202","Hauts plateaux"
"74218","Bas plateaux-colines"
"74228","Hauts plateaux"
"74232","Hauts plateaux"
"74256","Moyenne montagne"
"74257","Bas plateaux-colines"
"74263","Bas plateaux-colines"
"74267","Hauts plateaux"
"74271","Moyenne montagne"
"74273","Moyenne montagne"
"74283","Hauts plateaux"
"74286","Moyenne montagne"
"74287","Moyenne montagne"
"74289","Bas plateaux-colines"
"74294","Moyenne montagne"
"74296","Hauts plateaux"
"74302","Moyenne montagne"
"74309","Hauts plateaux"
"74310","Hauts plateaux"
"76004","Plaine"
"76006","Plaine"
"76013","Plaine"
"76016","Plaine"
"76023","Plaine"
"76024","Plaine"
"76028","Plaine"
"76034","Plaine"
"76035","Plaine"
"76051","Plaine"
"76057","Plaine"
"76058","Plaine"
"76059","Plaine"
"76064","Plaine"
"76065","Plaine"
"76067","Bas plateaux-colines"
"76068","Plaine"
"76071","Plaine"
"76082","Plaine"
"76083","Plaine"
"76087","Plaine"
"76088","Plaine"
"76094","Plaine"
"76100","Plaine"
"76105","Plaine"
"76108","Plaine"
"76111","Plaine"
"76128","Plaine"
"76146","Plaine"
"76149","Plaine"
"76151","Plaine"
"76153","Plaine"
"76165","Plaine"
"76167","Plaine"
"76169","Plaine"
"76178","Plaine"
"76182","Plaine"
"76185","Plaine"
"76196","Plaine"
"76205","Plaine"
"76206","Plaine"
"76207","Plaine"
"76209","Plaine"
"76211","Plaine"
"76219","Plaine"
"76225","Plaine"
"76230","Plaine"
"76233","Plaine"
"76238","Plaine"
"76239","Plaine"
"76245","Plaine"
"76254","Plaine"
"76264","Plaine"
"76270","Plaine"
"76273","Plaine"
"76278","Plaine"
"76285","Plaine"
"76289","Plaine"
"76290","Plaine"
"76291","Plaine"
"76303","Plaine"
"76311","Plaine"
"76312","Plaine"
"76319","Plaine"
"76322","Plaine"
"76329","Plaine"
"76333","Plaine"
"76334","Plaine"
"76341","Plaine"
"76343","Bas plateaux-colines"
"76347","Plaine"
"76350","Plaine"
"76352","Plaine"
"76356","Plaine"
"76357","Plaine"
"76361","Plaine"
"76378","Plaine"
"76382","Plaine"
"76391","Plaine"
"76399","Plaine"
"76404","Plaine"
"76408","Plaine"
"76410","Plaine"
"76425","Plaine"
"76431","Plaine"
"76432","Plaine"
"76441","Plaine"
"76442","Plaine"
"76449","Plaine"
"76450","Plaine"
"76452","Plaine"
"76457","Plaine"
"76464","Plaine"
"76467","Plaine"
"76472","Plaine"
"76473","Plaine"
"76483","Plaine"
"76489","Plaine"
"76495","Plaine"
"76498","Plaine"
"76500","Plaine"
"76505","Plaine"
"76510","Plaine"
"76515","Plaine"
"76519","Plaine"
"76527","Bas plateaux-colines"
"76531","Plaine"
"76533","Plaine"
"76540","Plaine"
"76543","Plaine"
"76546","Plaine"
"76547","Plaine"
"76559","Plaine"
"76561","Plaine"
"76563","Plaine"
"76569","Plaine"
"76581","Plaine"
"76584","Plaine"
"76591","Plaine"
"76600","Plaine"
"76605","Plaine"
"76606","Plaine"
"76610","Plaine"
"76612","Plaine"
"76620","Plaine"
"76637","Plaine"
"76640","Plaine"
"76648","Plaine"
"76651","Plaine"
"76656","Plaine"
"76662","Plaine"
"76663","Plaine"
"76677","Plaine"
"76678","Plaine"
"76680","Plaine"
"76681","Plaine"
"76688","Plaine"
"76689","Plaine"
"76702","Plaine"
"76705","Plaine"
"76707","Plaine"
"76709","Plaine"
"76717","Plaine"
"76719","Plaine"
"76727","Plaine"
"76732","Plaine"
"76736","Plaine"
"76740","Plaine"
"76746","Plaine"
"76751","Plaine"
"76754","Plaine"
"76755","Plaine"
"76756","Plaine"
"77002","Plaine"
"77006","Plaine"
"77008","Plaine"
"77018","Plaine"
"77023","Plaine"
"77032","Plaine"
"77040","Plaine"
"77041","Plaine"
"77047","Plaine"
"77058","Plaine"
"77059","Plaine"
"77065","Plaine"
"77067","Plaine"
"77068","Plaine"
"77073","Plaine"
"77075","Plaine"
"77082","Plaine"
"77084","Plaine"
"77088","Plaine"
"77096","Plaine"
"77100","Plaine"
"77108","Plaine"
"77109","Plaine"
"77118","Plaine"
"77119","Plaine"
"77120","Plaine"
"77130","Plaine"
"77131","Plaine"
"77146","Plaine"
"77148","Plaine"
"77151","Plaine"
"77154","Plaine"
"77163","Plaine"
"77165","Plaine"
"77167","Plaine"
"77173","Plaine"
"77175","Plaine"
"77185","Plaine"
"77190","Plaine"
"77193","Plaine"
"77194","Plaine"
"77195","Plaine"
"77197","Plaine"
"77212","Plaine"
"77227","Plaine"
"77231","Plaine"
"77232","Plaine"
"77236","Plaine"
"77237","Plaine"
"77238","Plaine"
"77241","Plaine"
"77250","Plaine"
"77261","Plaine"
"77266","Plaine"
"77270","Plaine"
"77274","Plaine"
"77286","Plaine"
"77287","Plaine"
"77290","Plaine"
"77291","Plaine"
"77293","Plaine"
"77302","Plaine"
"77303","Plaine"
"77304","Plaine"
"77307","Plaine"
"77312","Plaine"
"77316","Plaine"
"77318","Plaine"
"77327","Plaine"
"77333","Plaine"
"77338","Plaine"
"77340","Plaine"
"77343","Plaine"
"77347","Plaine"
"77363","Plaine"
"77369","Plaine"
"77370","Plaine"
"77373","Plaine"
"77382","Plaine"
"77398","Plaine"
"77400","Plaine"
"77401","Plaine"
"77407","Plaine"
"77411","Plaine"
"77416","Plaine"
"77418","Plaine"
"77419","Plaine"
"77426","Plaine"
"77430","Plaine"
"77436","Plaine"
"77437","Plaine"
"77442","Plaine"
"77451","Plaine"
"77463","Plaine"
"77471","Plaine"
"77473","Plaine"
"77475","Plaine"
"77479","Plaine"
"77484","Plaine"
"77489","Plaine"
"77507","Plaine"
"77512","Plaine"
"77514","Plaine"
"77519","Plaine"
"77526","Plaine"
"77530","Plaine"
"77531","Plaine"
"77532","Plaine"
"77534","Plaine"
"78010","Plaine"
"78013","Plaine"
"78020","Plaine"
"78034","Plaine"
"78077","Plaine"
"78084","Plaine"
"78090","Plaine"
"78104","Plaine"
"78108","Plaine"
"78117","Plaine"
"78118","Plaine"
"78124","Plaine"
"78165","Plaine"
"78172","Plaine"
"78193","Plaine"
"78230","Plaine"
"78238","Plaine"
"78278","Plaine"
"78297","Plaine"
"78300","Plaine"
"78302","Plaine"
"78335","Plaine"
"78337","Plaine"
"78344","Plaine"
"78346","Plaine"
"78366","Plaine"
"78372","Plaine"
"78380","Plaine"
"78382","Plaine"
"78385","Plaine"
"78415","Plaine"
"78417","Plaine"
"78420","Plaine"
"78423","Plaine"
"78437","Plaine"
"78442","Plaine"
"78455","Plaine"
"78460","Plaine"
"78499","Plaine"
"78513","Plaine"
"78517","Plaine"
"78522","Plaine"
"78528","Plaine"
"78550","Plaine"
"78557","Plaine"
"78564","Plaine"
"78569","Plaine"
"78601","Plaine"
"78606","Plaine"
"78615","Plaine"
"78638","Plaine"
"78650","Plaine"
"78686","Plaine"
"79002","Plaine"
"79003","Plaine"
"79008","Plaine"
"79013","Plaine"
"79015","Plaine"
"79031","Plaine"
"79032","Plaine"
"79050","Bas plateaux-colines"
"79063","Plaine"
"79066","Plaine"
"79079","Plaine"
"79105","Plaine"
"79115","Plaine"
"79118","Bas plateaux-colines"
"79127","Plaine"
"79129","Plaine"
"79140","Plaine"
"79147","Plaine"
"79154","Plaine"
"79170","Plaine"
"79172","Plaine"
"79176","Plaine"
"79177","Plaine"
"79180","Plaine"
"79183","Plaine"
"79191","Plaine"
"79202","Plaine"
"79215","Bas plateaux-colines"
"79220","Plaine"
"79229","Plaine"
"79231","Plaine"
"79252","Plaine"
"79254","Plaine"
"79258","Plaine"
"79259","Plaine"
"79265","Plaine"
"79276","Plaine"
"79278","Bas plateaux-colines"
"79281","Plaine"
"79290","Plaine"
"79303","Plaine"
"79304","Plaine"
"79306","Plaine"
"79335","Plaine"
"79337","Plaine"
"79338","Plaine"
"79355","Plaine"
"79357","Plaine"
"80013","Plaine"
"80022","Plaine"
"80025","Plaine"
"80037","Plaine"
"80044","Plaine"
"80045","Plaine"
"80048","Plaine"
"80051","Plaine"
"80052","Plaine"
"80054","Plaine"
"80063","Plaine"
"80066","Plaine"
"80069","Plaine"
"80073","Plaine"
"80074","Plaine"
"80082","Plaine"
"80083","Plaine"
"80085","Plaine"
"80086","Plaine"
"80089","Plaine"
"80092","Plaine"
"80104","Plaine"
"80108","Plaine"
"80112","Plaine"
"80114","Plaine"
"80115","Plaine"
"80121","Plaine"
"80122","Plaine"
"80124","Plaine"
"80128","Plaine"
"80130","Plaine"
"80132","Plaine"
"80143","Plaine"
"80146","Plaine"
"80148","Plaine"
"80149","Plaine"
"80152","Plaine"
"80157","Plaine"
"80160","Plaine"
"80166","Plaine"
"80170","Plaine"
"80171","Plaine"
"80174","Plaine"
"80187","Plaine"
"80196","Plaine"
"80199","Plaine"
"80200","Plaine"
"80201","Plaine"
"80203","Plaine"
"80205","Plaine"
"80210","Plaine"
"80214","Plaine"
"80224","Plaine"
"80238","Plaine"
"80248","Plaine"
"80259","Plaine"
"80278","Plaine"
"80283","Plaine"
"80284","Plaine"
"80298","Plaine"
"80301","Plaine"
"80308","Plaine"
"80310","Plaine"
"80316","Plaine"
"80322","Plaine"
"80333","Plaine"
"80335","Plaine"
"80336","Plaine"
"80339","Plaine"
"80349","Plaine"
"80356","Plaine"
"80359","Plaine"
"80362","Plaine"
"80374","Plaine"
"80376","Plaine"
"80380","Plaine"
"80383","Plaine"
"80393","Plaine"
"80396","Plaine"
"80402","Plaine"
"80410","Plaine"
"80414","Plaine"
"80416","Plaine"
"80418","Plaine"
"80423","Plaine"
"80427","Plaine"
"80430","Plaine"
"80434","Plaine"
"80451","Plaine"
"80455","Plaine"
"80456","Plaine"
"80458","Plaine"
"80468","Plaine"
"80473","Plaine"
"80480","Plaine"
"80482","Plaine"
"80485","Plaine"
"80493","Plaine"
"80501","Plaine"
"80507","Plaine"
"80509","Plaine"
"80512","Plaine"
"80516","Plaine"
"80521","Plaine"
"80524","Plaine"
"80528","Plaine"
"80530","Plaine"
"80531","Plaine"
"80537","Plaine"
"80538","Plaine"
"80545","Plaine"
"80549","Plaine"
"80570","Plaine"
"80578","Plaine"
"80588","Plaine"
"80591","Plaine"
"80599","Plaine"
"80604","Plaine"
"80607","Plaine"
"80616","Plaine"
"80617","Plaine"
"80622","Plaine"
"80627","Plaine"
"80633","Plaine"
"80638","Plaine"
"80642","Plaine"
"80644","Plaine"
"80652","Plaine"
"80656","Plaine"
"80661","Plaine"
"80663","Plaine"
"80668","Plaine"
"80669","Plaine"
"80670","Plaine"
"80672","Plaine"
"80674","Plaine"
"80680","Plaine"
"80690","Plaine"
"80691","Plaine"
"80693","Plaine"
"80696","Plaine"
"80699","Plaine"
"80700","Plaine"
"80704","Plaine"
"80705","Plaine"
"80706","Plaine"
"80707","Plaine"
"80711","Plaine"
"80713","Plaine"
"80716","Plaine"
"80721","Plaine"
"80722","Plaine"
"80723","Plaine"
"80733","Plaine"
"80735","Plaine"
"80738","Plaine"
"80742","Plaine"
"80749","Plaine"
"80752","Plaine"
"80754","Plaine"
"80755","Plaine"
"80758","Plaine"
"80759","Plaine"
"80769","Plaine"
"80780","Plaine"
"80785","Plaine"
"80788","Plaine"
"80789","Plaine"
"80790","Plaine"
"80794","Plaine"
"80810","Plaine"
"80813","Plaine"
"80819","Plaine"
"80821","Plaine"
"80829","Plaine"
"80830","Plaine"
"80833","Plaine"
"81021","Bas plateaux-colines"
"81022","Bas plateaux-colines"
"81026","Bas plateaux-colines"
"81027","Bas plateaux-colines"
"81029","Plaine"
"81033","Bas plateaux-colines"
"81047","Bas plateaux-colines"
"81048","Bas plateaux-colines"
"81060","Bas plateaux-colines"
"81062","Hauts plateaux"
"81066","Bas plateaux-colines"
"81067","Bas plateaux-colines"
"81069","Bas plateaux-colines"
"81084","Hauts plateaux"
"81086","Hauts plateaux"
"81088","Bas plateaux-colines"
"81089","Bas plateaux-colines"
"81090","Bas plateaux-colines"
"81100","Plaine"
"81103","Hauts plateaux"
"81105","Bas plateaux-colines"
"81106","Plaine"
"81108","Bas plateaux-colines"
"81118","Bas plateaux-colines"
"81125","Hauts plateaux"
"81135","Bas plateaux-colines"
"81156","Plaine"
"81164","Plaine"
"81165","Bas plateaux-colines"
"81172","Hauts plateaux"
"81186","Bas plateaux-colines"
"81192","Hauts plateaux"
"81197","Bas plateaux-colines"
"81209","Bas plateaux-colines"
"81213","Bas plateaux-colines"
"81221","Hauts plateaux"
"81228","Plaine"
"81232","Bas plateaux-colines"
"81254","Bas plateaux-colines"
"81256","Bas plateaux-colines"
"81261","Plaine"
"81263","Bas plateaux-colines"
"81274","Bas plateaux-colines"
"81275","Bas plateaux-colines"
"81288","Bas plateaux-colines"
"81293","Plaine"
"81295","Bas plateaux-colines"
"81300","Bas plateaux-colines"
"81307","Bas plateaux-colines"
"81309","Bas plateaux-colines"
"81313","Bas plateaux-colines"
"81314","Hauts plateaux"
"81316","Bas plateaux-colines"
"81317","Bas plateaux-colines"
"81320","Bas plateaux-colines"
"81322","Bas plateaux-colines"
"81323","Plaine"
"81325","Plaine"
"82001","Plaine"
"82007","Plaine"
"82009","Plaine"
"82019","Plaine"
"82021","Bas plateaux-colines"
"82022","Plaine"
"82023","Plaine"
"82035","Plaine"
"82039","Plaine"
"82041","Bas plateaux-colines"
"82044","Plaine"
"82053","Bas plateaux-colines"
"82063","Plaine"
"82064","Bas plateaux-colines"
"82067","Plaine"
"82071","Plaine"
"82082","Bas plateaux-colines"
"82084","Plaine"
"82085","Plaine"
"82091","Plaine"
"82098","Plaine"
"82108","Plaine"
"82111","Plaine"
"82112","Plaine"
"82116","Plaine"
"82117","Bas plateaux-colines"
"82121","Plaine"
"82131","Bas plateaux-colines"
"82132","Plaine"
"82135","Plaine"
"82136","Plaine"
"82138","Plaine"
"82151","Plaine"
"82157","Bas plateaux-colines"
"82170","Plaine"
"82185","Plaine"
"82195","Plaine"
"83001","Bas plateaux-colines"
"83006","Bas plateaux-colines"
"83009","Plaine"
"83012","Bas plateaux-colines"
"83022","Hauts plateaux"
"83032","Plaine"
"83034","Plaine"
"83035","Bas plateaux-colines"
"83037","Bas plateaux-colines"
"83038","Hauts plateaux"
"83050","Bas plateaux-colines"
"83056","Bas plateaux-colines"
"83058","Bas plateaux-colines"
"83061","Plaine"
"83066","Bas plateaux-colines"
"83068","Plaine"
"83074","Moyenne montagne"
"83082","Hauts plateaux"
"83092","Bas plateaux-colines"
"83113","Bas plateaux-colines"
"83121","Bas plateaux-colines"
"83122","Bas plateaux-colines"
"83133","Bas plateaux-colines"
"83138","Bas plateaux-colines"
"84012","Plaine"
"84014","Bas plateaux-colines"
"84016","Plaine"
"84019","Plaine"
"84024","Hauts plateaux"
"84030","Bas plateaux-colines"
"84043","Plaine"
"84046","Hauts plateaux"
"84048","Hauts plateaux"
"84057","Bas plateaux-colines"
"84058","Bas plateaux-colines"
"84059","Bas plateaux-colines"
"84060","Moyenne montagne"
"84069","Bas plateaux-colines"
"84075","Hauts plateaux"
"84079","Hauts plateaux"
"84081","Plaine"
"84082","Bas plateaux-colines"
"84083","Plaine"
"84090","Hauts plateaux"
"84102","Bas plateaux-colines"
"84103","Hauts plateaux"
"84106","Plaine"
"84108","Plaine"
"84111","Bas plateaux-colines"
"84120","Hauts plateaux"
"84123","Hauts plateaux"
"84129","Plaine"
"84135","Plaine"
"84138","Bas plateaux-colines"
"84143","Bas plateaux-colines"
"85009","Plaine"
"85019","Plaine"
"85022","Plaine"
"85029","Plaine"
"85040","Plaine"
"85065","Plaine"
"85076","Plaine"
"85078","Plaine"
"85086","Plaine"
"85089","Plaine"
"85092","Plaine"
"85093","Plaine"
"85098","Plaine"
"85100","Plaine"
"85106","Plaine"
"85109","Plaine"
"85110","Plaine"
"85126","Plaine"
"85130","Plaine"
"85131","Plaine"
"85144","Plaine"
"85148","Plaine"
"85155","Plaine"
"85159","Plaine"
"85174","Plaine"
"85176","Plaine"
"85192","Plaine"
"85200","Plaine"
"85214","Plaine"
"85216","Plaine"
"85218","Plaine"
"85220","Plaine"
"85223","Plaine"
"85227","Plaine"
"85236","Plaine"
"85243","Plaine"
"85244","Plaine"
"85248","Plaine"
"85254","Plaine"
"85256","Plaine"
"85262","Plaine"
"85273","Plaine"
"85285","Plaine"
"85286","Plaine"
"85288","Plaine"
"85289","Plaine"
"85296","Plaine"
"85301","Plaine"
"85303","Plaine"
"86010","Plaine"
"86011","Bas plateaux-colines"
"86014","Plaine"
"86022","Plaine"
"86025","Plaine"
"86028","Plaine"
"86040","Plaine"
"86045","Plaine"
"86048","Plaine"
"86050","Plaine"
"86052","Plaine"
"86054","Plaine"
"86063","Plaine"
"86070","Plaine"
"86072","Plaine"
"86073","Plaine"
"86074","Plaine"
"86082","Plaine"
"86088","Plaine"
"86096","Plaine"
"86097","Plaine"
"86098","Plaine"
"86099","Plaine"
"86106","Plaine"
"86111","Plaine"
"86119","Plaine"
"86121","Plaine"
"86127","Plaine"
"86133","Plaine"
"86134","Plaine"
"86136","Plaine"
"86153","Plaine"
"86163","Plaine"
"86175","Plaine"
"86176","Plaine"
"86184","Plaine"
"86186","Plaine"
"86190","Plaine"
"86193","Plaine"
"86195","Plaine"
"86214","Plaine"
"86217","Plaine"
"86226","Plaine"
"86228","Plaine"
"86237","Plaine"
"86247","Plaine"
"86256","Plaine"
"86261","Plaine"
"86262","Plaine"
"86269","Plaine"
"86271","Plaine"
"86272","Plaine"
"86273","Plaine"
"86276","Plaine"
"86288","Plaine"
"86296","Plaine"
"87002","Bas plateaux-colines"
"87004","Bas plateaux-colines"
"87020","Bas plateaux-colines"
"87023","Bas plateaux-colines"
"87027","Bas plateaux-colines"
"87032","Bas plateaux-colines"
"87035","Bas plateaux-colines"
"87054","Bas plateaux-colines"
"87056","Bas plateaux-colines"
"87061","Bas plateaux-colines"
"87062","Bas plateaux-colines"
"87063","Bas plateaux-colines"
"87069","Bas plateaux-colines"
"87075","Bas plateaux-colines"
"87079","Bas plateaux-colines"
"87081","Bas plateaux-colines"
"87092","Bas plateaux-colines"
"87097","Bas plateaux-colines"
"87100","Bas plateaux-colines"
"87107","Bas plateaux-colines"
"87110","Bas plateaux-colines"
