Région siège,Département siège,Arrondissement siège,Commune siège,N° SIREN,Nom du groupement,Nature juridique,Syndicat à la carte,Groupement interdépartemental,Date de création,Date d'effet,Mode de répartition des sièges,Autre mode de répartition des sièges,Nombre de membres,Population,Nombre de compétences exercées,Mode de financement,DGF Bonifiée,DSC,REOM,Autre redevance,TEOM,Autre taxe,Civilité Président,Prénom Président,Nom Président,Adresse du siège_1,Adresse du siège_2,Adresse du siège_3,Code postal du siège - Ville du siège,Téléphone du siège,Fax du siège,Courriel du siège,Site internet,Adresse annexe_1,Adresse annexe_2,Adresse annexe_3,Code postal annexe - Ville annexe,Téléphone annexe,Fax annexe
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210102620 - Montluel,240100610,CC de la Côtière à Montluel,CC,0,0,28/12/1993,28/12/1993,ACCOR,,9,25117,29,FPU,0,0,0, ,0, ,M.,Philippe,GUILLOT-VIGNOT,ZAC Cap & Co,485 rue des Valets,,01120 MONTLUEL,04 78 06 39 37,04 72 25 08 30,infos@3cm.fr,www.cc-montluel.fr,,,, ,    ,04 72 25 08 30
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210102497 - Miribel,240100800,CC de Miribel et du Plateau,CC,0,0,31/12/1997,31/12/1997,ACCOR,,6,24480,23,FPU,0,1,0, ,0, ,Mme,Caroline,TERRIER,1820 Grande rue,BP 114,,01701 MIRIBEL CÉDEX,04 78 55 52 18,04 78 55 46 36,infos@cc-miribel.fr,www.cc-miribel.fr/,,,, ,    ,04 78 55 46 36
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100996 - Chazey-sur-Ain,240100883,CC de la Plaine de l'Ain,CC,0,0,15/12/2002,15/12/2002,RDC,,53,80274,23,FPU,0,1,0, ,0, ,M.,Jean-Louis,GUYADER,Au Château,,,01150 CHAZEY - SUR - AIN,04 74 61 96 40,04 74 61 94 87,contact@cc-plainedelain.fr,,,,, ,    ,04 74 61 94 87
84 - Auvergne-Rhône-Alpes,01 - Ain,4 - Nantua,200083863 - Valserhône,240100891,CC du Pays Bellegardien (CCPB),CC,0,0,30/12/2002,30/12/2002,RDC,,12,22387,20,FPU,0,0,0, ,0, ,M.,Patrick,PERREARD,35 rue de la Poste,,,01200 Châtillon-en-Michaille,04 50 48 19 78,04 50 48 09 22,info@ccpb01.fr,,,,, ,    ,04 50 48 09 22
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100160 - Arbigny,200005742,SIVOS des communes d'Arbigny et de Sermoyer,SIVU,0,0,16/11/2006,16/11/2006,MEMNB,,2,1147,2,CBUDG,0,0,0, ,0, ,M.,Daniel,GRAS,mairie,Les Blaises,,01190 ARBIGNY,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210103883 - Saint-Trivier-de-Courtes,200007276,SIVOS de Saint Trivier de Courtes,SIVU,0,0,10/01/2007,10/01/2007,MEMNB,,5,2158,2,CBUDG,0,0,0, ,0, ,M.,Thierry,PALLEGOIX,120 rue de la Gendarmerie,,,01560 SAINT TRIVIER DE COURTES,    ,    ,sivos-de-saint-trivier@orange.fr,,,,, ,04 74 25 93 99,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100079 - Ambronay,200024529,SIVU Les Petits Mômes,SIVU,0,0,24/02/2010,24/02/2010,MEMNB,,6,10065,2,CBUDG,0,0,0,,0,,Mme,Marie-Christine,BARILLOT,Grande rue - mairie,,,01505 AMBRONAY CEDEX,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210103644 - Saint-Jean-sur-Reyssouze,200049831,"SIVOS du RPI Lescheroux, Mantenay-Montlin, Saint-Jean-sur-Reyssouze, Saint-Julien-sur-Reyssouze",SIVU,0,0,18/12/2014,01/01/2015,MEMNB,,4,2565,2,CBUDG,0,0,0,,0,,M.,MICHEL,LEMAIRE,mairie,Le Village,,01560 Saint-Jean-sur-Reyssouze,    ,    ,,,,,, ,04 74 52 61 72,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100046 - Ambérieu-en-Bugey,200073989,SI du centre nautique Bugey Côtière,SIVU,0,0,01/01/2017,01/01/2017,POPUL,,20,33182,1,CBUDG,0,0,0,,0,,M.,Jean-Pierre,HUMBERT,Centre nautique Bugey Côtière,Espace Laure Manaudou,Avenue de Mering,01500 AMBÉRIEU - EN - BUGEY,04 74 46 17 00,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210103842 - Saint-Rambert-en-Bugey,200081461,SI d'aménagement du bassin versant de la vallée de l'Albarine (SIABVA),SIVU,0,0,21/06/2018,21/06/2018,AUTR,"deux délégués par commune et, pour les communes de plus de 2 000 habitants, un délégué supplémentaire par tranche de 2 000 habitants commencée",27,37351,1,AUCUN,0,0,0,participation des usagers,0,,M.,Marcel,CHEVE,Mairie,rue de Grenette,,01230 SAINT RAMBERT - EN - BUGEY,04 74 37 44 34,    ,siabva@wanadoo.fr,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210101085 - Coligny,200089613,SIVOS de Coligny,SIVU,0,0,01/01/2019,01/01/2019,MEMNB,,10,7649,1,CBUDG,0,0,0,,0,,M.,BRUNO,RAFFIN,Mairie,,,01270 COLIGNY,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210102448 - Meximieux,200091684,Syndicat des eaux Dombes Côtière,SIVU,0,0,27/12/2019,01/01/2020,POPUL,,12,18389,1,AUCUN,0,0,0,,0,,M.,JEAN ALEX,PELLETIER,mairie de Meximieux,3 rue du Ban Thévenin,,01800 Meximieux,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100046 - Ambérieu-en-Bugey,250100039,SIVU des eaux de la région d'Ambérieu en Bugey,SIVU,0,0,16/05/1975,16/05/1975,MEMNB,,8,24403,1,CBUDG,0,0,0,,0,,M.,Thierry,DEROUBAIX,45 rue Colbert,,,01500 AMBÉRIEU - EN - BUGEY,04 74 38 04 35,04 74 38 60 27,,,,,, ,    ,04 74 38 60 27
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,200063121 - Chazey-Bons,250100070,SIVU de distribution d'eau Andert Condon et Pugieu,SIVU,0,0,08/10/1947,08/10/1947,MEMNB,,2,1514,1,CBUDG,0,0,0,,0,,M.,Patrick,GUILLERMIN,Mairie,,,01510 PUGIEU,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100533 - Bourg-en-Bresse,250100211,SI d'énergie et de e-communication ou SIEA,SIVU,1,0,11/03/1950,11/03/1950,POPUL,,393,663720,5,CBUDG,0,0,0, ,0, ,M.,Walter,MARTIN,32 cours de Verdun,,,01000 BOURG - EN - BRESSE,04 74 45 09 07,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100798 - Champagne-en-Valromey,250100260,SIVU de distribution d'eau du Bas - Valromey,SIVU,0,0,25/10/1948,25/10/1948,MEMNB,,3,2917,1,CBUDG,0,0,0, ,0, ,M.,André,BOLON,Maison de Pays,3 place Brillat Savarin,,01260 CHAMPAGNE - EN - VALROMEY,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210101622 - Flaxieu,250100401,SIVU des eaux de Pollieu - Flaxieu,SIVU,0,0,25/03/1936,25/03/1936,MEMNB,,2,235,1,CBUDG,0,0,0,,0,,M.,Serge,BAL,Mairie,,,01350 FLAXIEU,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,200059913 - Parves et Nattages,250100591,"SIVU de distribution d'eau de Massignieu-de-Rives, Nattages et Parves",SIVU,0,0,08/04/1957,08/04/1957,MEMNB,,2,1615,1,CBUDG,0,0,0, ,0, ,M.,Michel,CHIGNOLI,Mairie,67 route de Sorbier,,01300 Parves et Nattages,04 79 81 27 54,04 79 81 27 54,contact@siemnp.fr,,Mairie,67 route de Sorbier,,01300 PARVES,04 79 81 27 54,04 79 81 27 54
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210102596 - Montcet,250100658,"Syndicat à vocation scolaire et sportive Montcet, Montracol, Vandeins",SIVU,0,0,09/06/1975,09/06/1975,MEMNB,,3,2463,3,CBUDG,0,0,0, ,0, ,M.,Christophe,SUBTIL,Mairie,31 Rue de la Mairie,,01310 MONTCET,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210103297 - Rossillon,250100872,SIVU de distribution d'eau Cheignieu-la-Balme  -  Rossillon,SIVU,0,0,27/03/1969,27/03/1969,MEMNB,,2,292,1,CBUDG,0,0,0,,0,,M.,Georges,BOUVIER,Mairie,,,01510 ROSSILLON,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,200060143 - Groslée-Saint-Benoit,250100914,SIVU des eaux du Bas - Bugey,SIVU,0,0,09/05/1953,09/05/1953,MEMNB,,5,3250,1,CBUDG,0,0,0, ,0, ,M.,ETIENNE,TREPIER,Mairie,13 Rue des Maisons Vieilles,,01300 Groslée-Saint-Benoit,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210102992 - Le Plantay,250100989,SIVOS Châtenay - Le Plantay - Saint-Nizier-le-Désert,SIVU,0,0,02/05/1978,02/05/1978,MEMNB,,3,1866,2,CBUDG,0,0,0, ,0, ,Mme,Chantal,MUZY,Mairie,,,01330 LE PLANTAY,04 74 98 15 80,04 74 98 29 68,,,,,, ,    ,04 74 98 29 68
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210104493 - Villette-sur-Ain,250101201,SIAEP de Villette - Priay,SIVU,0,0,02/06/1967,02/06/1967,MEMNB,,2,2537,1,CBUDG,0,0,0, ,0, ,M.,Jean-Pierre,HUMBERT,Mairie,,,01320 VILLETTE - SUR - AIN,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100996 - Chazey-sur-Ain,250101342,SIVU de Chazey-sur-Ain et Sainte-Julie,SIVU,0,0,06/09/1983,06/09/1983,POPUL,,2,2667,1,CBUDG,0,0,0,,0,,M.,Thierry,PRAT,Mairie,,,01150 CHAZEY - SUR - AIN,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210102521 - Mogneneins,250101391,"SIVOS de Mogneneins, Peyzieux-sur-Saône",SIVU,0,0,08/06/1983,08/06/1983,MEMNB,,2,1493,3,CBUDG,0,0,0,,0,,Mme,Marie Monique,THIVOLLE,Mairie,,,01140 MOGNENEINS,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210103354 - Saint-André-le-Bouchoux,250101425,"SIVU à vocation sportive de Saint-André-le-Bouchoux, Saint-Georges-sur-Renom et Condeissiat",SIVU,0,0,15/10/1984,15/10/1984,MEMNB,,3,1448,1,CBUDG,0,0,0, ,0, ,M.,Alain,JAYR,Mairie,,,01240 SAINT ANDRÉ - LE - BOUCHOUX,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210101846 - Hautecourt-Romanèche,250101458,SIVOS Ain - Suran,SIVU,0,0,12/12/1984,12/12/1984,POPUL,,4,2115,2,CBUDG,0,0,0, ,0, ,M.,Christian,FEVRE,Mairie,,,01250 HAUTECOURT - ROMANÈCHE,    ,    ,sivosainsuran@ca3b.fr,,2777 route de Neuville,Meyriat,,01250 BOHAS-MEYRIAT-RIGNAT,04 74 51 80 15,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210101283 - Courtes,250101656,SI Courtes - Vernoux,SIVU,0,0,14/09/1987,14/09/1987,MEMNB,,2,634,1,CBUDG,0,0,0,,0,,M.,Thierry,PALLEGOIX,Mairie,,,01560 COURTES,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100269 - Bâgé-le-Châtel,250101722,SIVOS des trois - Bâgé  -  Dommartin,SIVU,0,0,15/07/1988,15/07/1988,POPUL,,3,5980,1,CBUDG,0,0,0, ,0, ,M.,Jean Jacques,BESSON,Mairie,,,01380 BÂGÉ - LE - CHÂTEL,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210102844 - Ozan,250101805,SIVOS des communes de Boz - Ozan - Reyssouze,SIVU,0,0,24/08/1989,24/08/1989,MEMNB,,3,2233,2,CBUDG,0,0,0,,0,,Mme,Marie-Jeanne,PESENTI,Mairie,,,01190 OZAN,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100046 - Ambérieu-en-Bugey,250101839,Syndicat du traitement des eaux d'Ambérieu-en-Bugey et de son agglomération,SIVU,0,0,24/07/1990,24/07/1990,AUTR,5 délégués pour Ambérieu et 3 pour les autres communes,9,27146,2,CBUDG,0,0,0, ,0, ,M.,THIERRY,DEROUBAIX,"19, rue René Panhard",,,01500 AMBÉRIEU - EN - BUGEY,04 74 35 07 16,04 74 39 78 73,secretariat@steasa.fr,,,,, ,    ,04 74 39 78 73
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100962 - Chaveyriat,250101847,SIVU pour la gestion du RP de Chaveyriat  - Chanoz - Châtenay,SIVU,0,0,10/04/1990,10/04/1990,POPUL,,2,1926,2,CBUDG,0,0,0, ,0, ,Mme,Véronique,LAURENT,Mairie,,,01660 CHAVEYRIAT,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,3 - Gex,210101044 - Chézery-Forens,250101995,SIVOS de Chézery - Forens  -  Lélex,SIVU,0,0,25/11/1992,25/11/1992,MEMNB,,2,706,2,CBUDG,0,0,0, ,0, ,Mme,Cendrine,MATHIEU,Mairie,,,01410 CHEZERY - FORENS,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210102026 - Lagnieu,250102043,"SIVU de Lagnieu, Saint-Sorlin-en-Bugey",SIVU,0,0,15/10/1993,15/10/1993,MEMNB,,2,8534,1,CBUDG,0,0,0,,0,,M.,André,MOINGEON,Mairie,,,01150 LAGNIEU,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210103057 - Pont-de-Vaux,250102050,SIVU de traitement des eaux usées de Pont-de-Vaux et communes riveraines,SIVU,0,0,30/03/1992,30/03/1992,POPUL,,4,5417,1,CBUDG,0,0,0, ,0, ,M.,Yves,PAUGET,Mairie,,,01190 PONT - DE - VAUX,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,4 - Nantua,210103032 - Poncin,250102092,SIVU d'assainissement de la vallée du Veyron,SIVU,0,0,24/02/1995,24/02/1995,MEMNB,,2,2537,1,CBUDG,0,0,0, ,0, ,M.,Jean-Michel,GIROUX,Mairie,,,01450 PONCIN,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,4 - Nantua,210100822 - Chanay,250102134,"SIVU de Lhôpital, Chanay, Surjoux",SIVU,0,0,18/02/1988,18/02/1988,MEMNB,,2,781,1,CBUDG,0,0,0,,0,,M.,Frédéric,MALFAIT,Mairie,,,01420 CHANAY,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100269 - Bâgé-le-Châtel,250102233,SIVU du centre de première intervention intercommunal de Bâgé-le-Châtel,SIVU,0,0,15/09/1998,15/09/1998,POPUL,,4,6240,1,CBUDG,0,0,0, ,0, ,M.,Philippe,PLENARD,Mairie,,,01380 BÂGÉ - LE - CHÂTEL,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,200053668 - Arboys en Bugey,250102266,SIVU pour l'animation communale de Saint-Bois et Prémeyzel,SIVU,0,0,25/05/1999,25/05/1999,MEMNB,,2,918,2,CBUDG,0,0,0, ,0, ,M.,Sébastien,GUILLERMIN,Mairie,Place de la Mairie,,01300 Arboys-en-Bugey,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210102356 - Marlieux,250102324,"SIVOS La Chapelle-du-Châtelard, Marlieux, Saint-Germain-sur-Renom",SIVU,0,0,20/08/2001,20/08/2001,MEMNB,,3,1871,1,CBUDG,0,0,0,,0,,M.,Jean-Paul,GRANDJEAN,Mairie,,,01240 MARLIEUX,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210103529 - Saint-Étienne-sur-Reyssouze,250102357,"SIVOS des communes de Chavanne-sur-Reyssouze, Saint-Etienne-sur-Reyssouze, Boissey",SIVU,0,0,24/01/2002,24/01/2002,MEMNB,,3,1704,2,CBUDG,0,0,0,,0,,Mme,Dominique,DOUARD,Mairie,,,01190 SAINT ETIENNE - SUR - REYSSOUZE,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210101556 - Évosges,250102423,SIVU en matière scolaire d'Aranc et d'Evosges,SIVU,0,0,10/06/2003,10/06/2003,MEMNB,,2,481,2,CBUDG,0,0,0, ,0, ,M.,Christophe,GUILLET,Mairie,,,01230 EVOSGES,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210101408 - Curtafond,250102506,SIVOS Confrançon - Curtafond,SIVU,0,0,14/12/2004,14/12/2004,MEMNB,,2,2157,1,CBUDG,0,0,0,,0,,M.,Hervé,COLAS,Mairie,,,01310 CURTAFOND,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,3 - Gex,210102885 - Péron,250102530,SIVOS du Sud Gessien,SIVU,0,0,26/09/2005,26/09/2005,MEMNB,,7,16483,3,CBUDG,0,0,0,,0,,M.,Michel,BRULHART,Mairie,,,01630 PÉRON,04 50 56 31 08,04 50 56 37 46,mairie.peron@cc-pays-de-gex.fr,cc-pays-de-gex.FR.mairies/peron/,,,, ,    ,04 50 56 37 46
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210102901 - Pérouges,200011831,SIVOS de Bourg-Saint-Christophe et de Pérouges,SIVOM,0,0,17/12/2007,17/12/2007,MEMNB,,2,2729,3,CBUFI,0,0,0, ,0, ,M.,Bernard,PERRET,Mairie,,,01800 PEROUGES,04 74 61 01 58,04 74 61 01 69,bscmairie@orange.fr,,Mairie ,,,01800 Bourg-Saint-Christophe,04 74 61 01 66,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210102166 - Lhuis,200068476,SIVOM Rhône Chartreuse de Portes,SIVOM,0,0,24/11/2016,01/01/2017,MEMNB,,10,4921,2,CBUDG,0,0,0,,0,,M.,DANIEL,BEGUET,Mairie de Lhuis,10 place de la mairie,,01680 Lhuis,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210100798 - Champagne-en-Valromey,200071975,SIVOM du Valromey,SIVOM,0,0,19/12/2016,01/01/2017,POPUL,,6,4253,4,CBUDG,0,0,0,,0,,Mme,Pauline,GODET,Maison de Pays du Valromey,3 place Brillat Savarin,,01260 Champagne-en-Valromey,    ,    ,contact@sivom-valromey.fr,,,,, ,04 79 87 64 98,04 79 87 53 42
84 - Auvergne-Rhône-Alpes,01 - Ain,3 - Gex,210101580 - Farges,200073450,SIVOM du Grand Crêt d'Eau,SIVOM,1,0,29/12/2016,01/01/2017,MEMNB,,6,22044,1,CBUDG,0,0,0,,0,,Mme,MONIQUE,GRAZIOTTI,Mairie,870 Rue de la République,,01550 FARGES,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,3 - Gex,210101606 - Ferney-Voltaire,240100057,SIVOM de l'Est Gessien,SIVOM,1,0,26/06/1967,26/06/1967,POPUL,,3,23348,10,CBUDG,0,0,0, ,0, ,M.,Max,GIRIAT,27 chemin de la Planche Brûlée,,,01210 FERNEY VOLTAIRE,04 50 40 18 67,04 50 40 18 70,sivomeg@sivom-eg.fr,,,,, ,    ,04 50 40 18 70
84 - Auvergne-Rhône-Alpes,01 - Ain,1 - Belley,210103586 - Saint-Germain-les-Paroisses,250102415,SIVOS d'Ambléon - Colomieu - Conzieu  - Saint-Germain-les-Paroisses,SIVOM,0,0,20/01/2003,20/01/2003,POPUL,,4,853,2,CBUDG,0,0,0, ,0, ,M.,Régis,CASTIN,Mairie,,,01300 SAINT GERMAIN - LES - PAROISSES,    ,    ,,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210100939 - Châtillon-sur-Chalaronne,200013290,Syndicat des rivières Dombes - Chalaronne - Bords de Saône,SMF,0,0,15/01/2008,15/01/2008,AUTR,population comprise dans le bassin versant,5,90903,6,CBUDG,0,0,0, ,0, ,M.,JEAN MICHEL,LUX,7 avenue Dubanchet,,,01400 Châtillon-sur-Chalaronne,    ,    ,smtc@wanadoo.fr,www.syndicat-territoires-chalaronne.com,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,4 - Nantua,210103735 - Saint-Martin-du-Frêne,200052041,SIVU de la Combe de Vaux,SMF,0,0,01/01/2015,01/01/2015,POPUL,,3,2851,1,CBUDG,0,0,0,,0,,M.,Dominique,TURC,Mairie,,,01430 SAINT MARTIN DU FRESNE,    ,    ,sivudevaux@orange.fr,,,,, ,    ,    
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210101945 - Jassans-Riottier,200052959,Syndicat des eaux de Jassans-Riottier,SMF,0,1,30/07/2015,30/07/2015,MEMNB,,4,12048,1,AUCUN,0,0,0,,0,,M.,Jean-Louis,NOAILLY,Mairie,rue de la Mairie,,01480 JASSANS - RIOTTIER,04 74 09 86 86,    ,dgs@jassansriottier.fr,,,,, ,04 74 09 86 94,04 74 09 86 72
84 - Auvergne-Rhône-Alpes,01 - Ain,2 - Bourg-en-Bresse,210103537 - Sainte-Euphémie,200061455,SIVU d'aménagement hydraulique du canton de Trévoux et de ses environs,SMF,0,1,01/01/2016,01/01/2016,MEMNB,,3,43929,1,CBUDG,0,0,0,,0,,M.,DAVID,POMMIER,Mairie,,,01600 SAINTE EUPHÉMIE,04 74 00 02 86,    ,,,,,, ,    ,    
